Year,"Month, #", Opening UPB ,   Pmt Interest ,   Pmt Principal , Total Payment , Closing UPB 
4,10,"  353,010.39 ","  1,838.60 ",  444.48 ,"  2,283.08 ","  352,565.91 "
4,11,"  352,565.91 ","  1,836.28 ",  446.80 ,"  2,283.08 ","  352,119.11 "
4,12,"  352,119.11 ","  1,833.95 ",  449.13 ,"  2,283.08 ","  351,669.99 "
5,1,"  351,669.99 ","  1,831.61 ",  451.46 ,"  2,283.08 ","  351,218.52 "
5,2,"  351,218.52 ","  1,829.26 ",  453.82 ,"  2,283.08 ","  350,764.71 "
5,3,"  350,764.71 ","  1,826.90 ",  456.18 ,"  2,283.08 ","  350,308.53 "
5,4,"  350,308.53 ","  1,824.52 ",  458.56 ,"  2,283.08 ","  349,849.97 "
5,5,"  349,849.97 ","  1,822.14 ",  460.94 ,"  2,283.08 ","  349,389.03 "
5,6,"  349,389.03 ","  1,819.73 ",  463.34 ,"  2,283.08 ","  348,925.68 "
5,7,"  348,925.68 ","  1,817.32 ",  465.76 ,"  2,283.08 ","  348,459.92 "
5,8,"  348,459.92 ","  1,814.90 ",  468.18 ,"  2,283.08 ","  347,991.74 "
5,9,"  347,991.74 ","  1,812.46 ",  470.62 ,"  2,283.08 ","  347,521.12 "
5,10,"  347,521.12 ","  1,810.01 ",  473.07 ,"  2,283.08 ","  347,048.04 "
5,11,"  347,048.04 ","  1,807.54 ",  475.54 ,"  2,283.08 ","  346,572.51 "
5,12,"  346,572.51 ","  1,805.07 ",  478.01 ,"  2,283.08 ","  346,094.49 "
6,1,"  346,094.49 ","  1,802.58 ",  480.50 ,"  2,283.08 ","  345,613.99 "
6,2,"  345,613.99 ","  1,800.07 ",  483.01 ,"  2,283.08 ","  345,130.98 "
6,3,"  345,130.98 ","  1,797.56 ",  485.52 ,"  2,283.08 ","  344,645.46 "
6,4,"  344,645.46 ","  1,795.03 ",  488.05 ,"  2,283.08 ","  344,157.41 "
6,5,"  344,157.41 ","  1,792.49 ",  490.59 ,"  2,283.08 ","  343,666.81 "
6,6,"  343,666.81 ","  1,789.93 ",  493.15 ,"  2,283.08 ","  343,173.67 "
6,7,"  343,173.67 ","  1,787.36 ",  495.72 ,"  2,283.08 ","  342,677.95 "
6,8,"  342,677.95 ","  1,784.78 ",  498.30 ,"  2,283.08 ","  342,179.65 "
6,9,"  342,179.65 ","  1,782.19 ",  500.89 ,"  2,283.08 ","  341,678.76 "
6,10,"  341,678.76 ","  1,779.58 ",  503.50 ,"  2,283.08 ","  341,175.26 "
6,11,"  341,175.26 ","  1,776.95 ",  506.12 ,"  2,283.08 ","  340,669.13 "
6,12,"  340,669.13 ","  1,774.32 ",  508.76 ,"  2,283.08 ","  340,160.37 "
7,1,"  340,160.37 ","  1,771.67 ",  511.41 ,"  2,283.08 ","  339,648.96 "
7,2,"  339,648.96 ","  1,769.00 ",  514.07 ,"  2,283.08 ","  339,134.88 "
7,3,"  339,134.88 ","  1,766.33 ",  516.75 ,"  2,283.08 ","  338,618.13 "
7,4,"  338,618.13 ","  1,763.64 ",  519.44 ,"  2,283.08 ","  338,098.69 "
7,5,"  338,098.69 ","  1,760.93 ",  522.15 ,"  2,283.08 ","  337,576.54 "
7,6,"  337,576.54 ","  1,758.21 ",  524.87 ,"  2,283.08 ","  337,051.67 "
7,7,"  337,051.67 ","  1,755.48 ",  527.60 ,"  2,283.08 ","  336,524.07 "
7,8,"  336,524.07 ","  1,752.73 ",  530.35 ,"  2,283.08 ","  335,993.72 "
7,9,"  335,993.72 ","  1,749.97 ",  533.11 ,"  2,283.08 ","  335,460.61 "
7,10,"  335,460.61 ","  1,747.19 ",  535.89 ,"  2,283.08 ","  334,924.72 "
7,11,"  334,924.72 ","  1,744.40 ",  538.68 ,"  2,283.08 ","  334,386.04 "
7,12,"  334,386.04 ","  1,741.59 ",  541.49 ,"  2,283.08 ","  333,844.55 "
8,1,"  333,844.55 ","  1,738.77 ",  544.31 ,"  2,283.08 ","  333,300.25 "
8,2,"  333,300.25 ","  1,735.94 ",  547.14 ,"  2,283.08 ","  332,753.11 "
8,3,"  332,753.11 ","  1,733.09 ",  549.99 ,"  2,283.08 ","  332,203.12 "
8,4,"  332,203.12 ","  1,730.22 ",  552.85 ,"  2,283.08 ","  331,650.26 "
8,5,"  331,650.26 ","  1,727.35 ",  555.73 ,"  2,283.08 ","  331,094.53 "
8,6,"  331,094.53 ","  1,724.45 ",  558.63 ,"  2,283.08 ","  330,535.90 "
8,7,"  330,535.90 ","  1,721.54 ",  561.54 ,"  2,283.08 ","  329,974.36 "
8,8,"  329,974.36 ","  1,718.62 ",  564.46 ,"  2,283.08 ","  329,409.90 "
8,9,"  329,409.90 ","  1,715.68 ",  567.40 ,"  2,283.08 ","  328,842.50 "
8,10,"  328,842.50 ","  1,712.72 ",  570.36 ,"  2,283.08 ","  328,272.14 "
8,11,"  328,272.14 ","  1,709.75 ",  573.33 ,"  2,283.08 ","  327,698.81 "
8,12,"  327,698.81 ","  1,706.76 ",  576.31 ,"  2,283.08 ","  327,122.50 "
9,1,"  327,122.50 ","  1,703.76 ",  579.32 ,"  2,283.08 ","  326,543.18 "
9,2,"  326,543.18 ","  1,700.75 ",  582.33 ,"  2,283.08 ","  325,960.85 "
9,3,"  325,960.85 ","  1,697.71 ",  585.37 ,"  2,283.08 ","  325,375.48 "
9,4,"  325,375.48 ","  1,694.66 ",  588.42 ,"  2,283.08 ","  324,787.06 "
9,5,"  324,787.06 ","  1,691.60 ",  591.48 ,"  2,283.08 ","  324,195.58 "
9,6,"  324,195.58 ","  1,688.52 ",  594.56 ,"  2,283.08 ","  323,601.02 "
9,7,"  323,601.02 ","  1,685.42 ",  597.66 ,"  2,283.08 ","  323,003.36 "
9,8,"  323,003.36 ","  1,682.31 ",  600.77 ,"  2,283.08 ","  322,402.59 "
9,9,"  322,402.59 ","  1,679.18 ",  603.90 ,"  2,283.08 ","  321,798.70 "
9,10,"  321,798.70 ","  1,676.03 ",  607.04 ,"  2,283.08 ","  321,191.65 "
9,11,"  321,191.65 ","  1,672.87 ",  610.21 ,"  2,283.08 ","  320,581.44 "
9,12,"  320,581.44 ","  1,669.70 ",  613.38 ,"  2,283.08 ","  319,968.06 "
10,1,"  319,968.06 ","  1,666.50 ",  616.58 ,"  2,283.08 ","  319,351.48 "
10,2,"  319,351.48 ","  1,663.29 ",  619.79 ,"  2,283.08 ","  318,731.69 "
10,3,"  318,731.69 ","  1,660.06 ",  623.02 ,"  2,283.08 ","  318,108.67 "
10,4,"  318,108.67 ","  1,656.82 ",  626.26 ,"  2,283.08 ","  317,482.41 "
10,5,"  317,482.41 ","  1,653.55 ",  629.53 ,"  2,283.08 ","  316,852.88 "
10,6,"  316,852.88 ","  1,650.28 ",  632.80 ,"  2,283.08 ","  316,220.08 "
10,7,"  316,220.08 ","  1,646.98 ",  636.10 ,"  2,283.08 ","  315,583.98 "
10,8,"  315,583.98 ","  1,643.67 ",  639.41 ,"  2,283.08 ","  314,944.57 "
10,9,"  314,944.57 ","  1,640.34 ",  642.74 ,"  2,283.08 ","  314,301.82 "
10,10,"  314,301.82 ","  1,636.99 ",  646.09 ,"  2,283.08 ","  313,655.73 "
10,11,"  313,655.73 ","  1,633.62 ",  649.46 ,"  2,283.08 ","  313,006.28 "
10,12,"  313,006.28 ","  1,630.24 ",  652.84 ,"  2,283.08 ","  312,353.44 "
11,1,"  312,353.44 ","  1,626.84 ",  656.24 ,"  2,283.08 ","  311,697.20 "
11,2,"  311,697.20 ","  1,623.42 ",  659.66 ,"  2,283.08 ","  311,037.54 "
11,3,"  311,037.54 ","  1,619.99 ",  663.09 ,"  2,283.08 ","  310,374.45 "
11,4,"  310,374.45 ","  1,616.53 ",  666.55 ,"  2,283.08 ","  309,707.91 "
11,5,"  309,707.91 ","  1,613.06 ",  670.02 ,"  2,283.08 ","  309,037.89 "
11,6,"  309,037.89 ","  1,609.57 ",  673.51 ,"  2,283.08 ","  308,364.38 "
11,7,"  308,364.38 ","  1,606.06 ",  677.01 ,"  2,283.08 ","  307,687.37 "
11,8,"  307,687.37 ","  1,602.54 ",  680.54 ,"  2,283.08 ","  307,006.83 "
11,9,"  307,006.83 ","  1,598.99 ",  684.09 ,"  2,283.08 ","  306,322.74 "
11,10,"  306,322.74 ","  1,595.43 ",  687.65 ,"  2,283.08 ","  305,635.09 "
11,11,"  305,635.09 ","  1,591.85 ",  691.23 ,"  2,283.08 ","  304,943.86 "
11,12,"  304,943.86 ","  1,588.25 ",  694.83 ,"  2,283.08 ","  304,249.03 "
12,1,"  304,249.03 ","  1,584.63 ",  698.45 ,"  2,283.08 ","  303,550.58 "
12,2,"  303,550.58 ","  1,580.99 ",  702.09 ,"  2,283.08 ","  302,848.50 "
12,3,"  302,848.50 ","  1,577.34 ",  705.74 ,"  2,283.08 ","  302,142.75 "
12,4,"  302,142.75 ","  1,573.66 ",  709.42 ,"  2,283.08 ","  301,433.33 "
12,5,"  301,433.33 ","  1,569.97 ",  713.11 ,"  2,283.08 ","  300,720.22 "
12,6,"  300,720.22 ","  1,566.25 ",  716.83 ,"  2,283.08 ","  300,003.39 "
12,7,"  300,003.39 ","  1,562.52 ",  720.56 ,"  2,283.08 ","  299,282.83 "
12,8,"  299,282.83 ","  1,558.76 ",  724.31 ,"  2,283.08 ","  298,558.51 "
12,9,"  298,558.51 ","  1,554.99 ",  728.09 ,"  2,283.08 ","  297,830.43 "
12,10,"  297,830.43 ","  1,551.20 ",  731.88 ,"  2,283.08 ","  297,098.55 "
12,11,"  297,098.55 ","  1,547.39 ",  735.69 ,"  2,283.08 ","  296,362.86 "
12,12,"  296,362.86 ","  1,543.56 ",  739.52 ,"  2,283.08 ","  295,623.33 "
13,1,"  295,623.33 ","  1,539.70 ",  743.37 ,"  2,283.08 ","  294,879.96 "
13,2,"  294,879.96 ","  1,535.83 ",  747.25 ,"  2,283.08 ","  294,132.71 "
13,3,"  294,132.71 ","  1,531.94 ",  751.14 ,"  2,283.08 ","  293,381.58 "
13,4,"  293,381.58 ","  1,528.03 ",  755.05 ,"  2,283.08 ","  292,626.53 "
13,5,"  292,626.53 ","  1,524.10 ",  758.98 ,"  2,283.08 ","  291,867.54 "
13,6,"  291,867.54 ","  1,520.14 ",  762.94 ,"  2,283.08 ","  291,104.61 "
13,7,"  291,104.61 ","  1,516.17 ",  766.91 ,"  2,283.08 ","  290,337.70 "
13,8,"  290,337.70 ","  1,512.18 ",  770.90 ,"  2,283.08 ","  289,566.79 "
13,9,"  289,566.79 ","  1,508.16 ",  774.92 ,"  2,283.08 ","  288,791.87 "
13,10,"  288,791.87 ","  1,504.12 ",  778.96 ,"  2,283.08 ","  288,012.92 "
13,11,"  288,012.92 ","  1,500.07 ",  783.01 ,"  2,283.08 ","  287,229.91 "
13,12,"  287,229.91 ","  1,495.99 ",  787.09 ,"  2,283.08 ","  286,442.82 "
14,1,"  286,442.82 ","  1,491.89 ",  791.19 ,"  2,283.08 ","  285,651.63 "
14,2,"  285,651.63 ","  1,487.77 ",  795.31 ,"  2,283.08 ","  284,856.32 "
14,3,"  284,856.32 ","  1,483.63 ",  799.45 ,"  2,283.08 ","  284,056.86 "
14,4,"  284,056.86 ","  1,479.46 ",  803.62 ,"  2,283.08 ","  283,253.25 "
14,5,"  283,253.25 ","  1,475.28 ",  807.80 ,"  2,283.08 ","  282,445.45 "
14,6,"  282,445.45 ","  1,471.07 ",  812.01 ,"  2,283.08 ","  281,633.44 "
14,7,"  281,633.44 ","  1,466.84 ",  816.24 ,"  2,283.08 ","  280,817.20 "
14,8,"  280,817.20 ","  1,462.59 ",  820.49 ,"  2,283.08 ","  279,996.71 "
14,9,"  279,996.71 ","  1,458.32 ",  824.76 ,"  2,283.08 ","  279,171.94 "
14,10,"  279,171.94 ","  1,454.02 ",  829.06 ,"  2,283.08 ","  278,342.89 "
14,11,"  278,342.89 ","  1,449.70 ",  833.38 ,"  2,283.08 ","  277,509.51 "
14,12,"  277,509.51 ","  1,445.36 ",  837.72 ,"  2,283.08 ","  276,671.79 "
15,1,"  276,671.79 ","  1,441.00 ",  842.08 ,"  2,283.08 ","  275,829.71 "
15,2,"  275,829.71 ","  1,436.61 ",  846.47 ,"  2,283.08 ","  274,983.24 "
15,3,"  274,983.24 ","  1,432.20 ",  850.87 ,"  2,283.08 ","  274,132.37 "
15,4,"  274,132.37 ","  1,427.77 ",  855.31 ,"  2,283.08 ","  273,277.06 "
15,5,"  273,277.06 ","  1,423.32 ",  859.76 ,"  2,283.08 ","  272,417.30 "
15,6,"  272,417.30 ","  1,418.84 ",  864.24 ,"  2,283.08 ","  271,553.06 "
15,7,"  271,553.06 ","  1,414.34 ",  868.74 ,"  2,283.08 ","  270,684.32 "
15,8,"  270,684.32 ","  1,409.81 ",  873.27 ,"  2,283.08 ","  269,811.06 "
15,9,"  269,811.06 ","  1,405.27 ",  877.81 ,"  2,283.08 ","  268,933.24 "
15,10,"  268,933.24 ","  1,400.69 ",  882.39 ,"  2,283.08 ","  268,050.86 "
15,11,"  268,050.86 ","  1,396.10 ",  886.98 ,"  2,283.08 ","  267,163.88 "
15,12,"  267,163.88 ","  1,391.48 ",  891.60 ,"  2,283.08 ","  266,272.28 "
16,1,"  266,272.28 ","  1,386.83 ",  896.24 ,"  2,283.08 ","  265,376.03 "
16,2,"  265,376.03 ","  1,382.17 ",  900.91 ,"  2,283.08 ","  264,475.12 "
16,3,"  264,475.12 ","  1,377.47 ",  905.60 ,"  2,283.08 ","  263,569.51 "
16,4,"  263,569.51 ","  1,372.76 ",  910.32 ,"  2,283.08 ","  262,659.19 "
16,5,"  262,659.19 ","  1,368.02 ",  915.06 ,"  2,283.08 ","  261,744.13 "
16,6,"  261,744.13 ","  1,363.25 ",  919.83 ,"  2,283.08 ","  260,824.30 "
16,7,"  260,824.30 ","  1,358.46 ",  924.62 ,"  2,283.08 ","  259,899.68 "
16,8,"  259,899.68 ","  1,353.64 ",  929.44 ,"  2,283.08 ","  258,970.25 "
16,9,"  258,970.25 ","  1,348.80 ",  934.28 ,"  2,283.08 ","  258,035.97 "
16,10,"  258,035.97 ","  1,343.94 ",  939.14 ,"  2,283.08 ","  257,096.83 "
16,11,"  257,096.83 ","  1,339.05 ",  944.03 ,"  2,283.08 ","  256,152.79 "
16,12,"  256,152.79 ","  1,334.13 ",  948.95 ,"  2,283.08 ","  255,203.84 "
17,1,"  255,203.84 ","  1,329.19 ",  953.89 ,"  2,283.08 ","  254,249.95 "
17,2,"  254,249.95 ","  1,324.22 ",  958.86 ,"  2,283.08 ","  253,291.09 "
17,3,"  253,291.09 ","  1,319.22 ",  963.85 ,"  2,283.08 ","  252,327.24 "
17,4,"  252,327.24 ","  1,314.20 ",  968.88 ,"  2,283.08 ","  251,358.36 "
17,5,"  251,358.36 ","  1,309.16 ",  973.92 ,"  2,283.08 ","  250,384.44 "
17,6,"  250,384.44 ","  1,304.09 ",  978.99 ,"  2,283.08 ","  249,405.45 "
17,7,"  249,405.45 ","  1,298.99 ",  984.09 ,"  2,283.08 ","  248,421.35 "
17,8,"  248,421.35 ","  1,293.86 ",  989.22 ,"  2,283.08 ","  247,432.14 "
17,9,"  247,432.14 ","  1,288.71 ",  994.37 ,"  2,283.08 ","  246,437.76 "
17,10,"  246,437.76 ","  1,283.53 ",  999.55 ,"  2,283.08 ","  245,438.22 "
17,11,"  245,438.22 ","  1,278.32 ","  1,004.76 ","  2,283.08 ","  244,433.46 "
17,12,"  244,433.46 ","  1,273.09 ","  1,009.99 ","  2,283.08 ","  243,423.47 "
18,1,"  243,423.47 ","  1,267.83 ","  1,015.25 ","  2,283.08 ","  242,408.22 "
18,2,"  242,408.22 ","  1,262.54 ","  1,020.54 ","  2,283.08 ","  241,387.69 "
18,3,"  241,387.69 ","  1,257.23 ","  1,025.85 ","  2,283.08 ","  240,361.83 "
18,4,"  240,361.83 ","  1,251.88 ","  1,031.19 ","  2,283.08 ","  239,330.64 "
18,5,"  239,330.64 ","  1,246.51 ","  1,036.57 ","  2,283.08 ","  238,294.07 "
18,6,"  238,294.07 ","  1,241.11 ","  1,041.96 ","  2,283.08 ","  237,252.11 "
18,7,"  237,252.11 ","  1,235.69 ","  1,047.39 ","  2,283.08 ","  236,204.72 "
18,8,"  236,204.72 ","  1,230.23 ","  1,052.85 ","  2,283.08 ","  235,151.87 "
18,9,"  235,151.87 ","  1,224.75 ","  1,058.33 ","  2,283.08 ","  234,093.54 "
18,10,"  234,093.54 ","  1,219.24 ","  1,063.84 ","  2,283.08 ","  233,029.70 "
18,11,"  233,029.70 ","  1,213.70 ","  1,069.38 ","  2,283.08 ","  231,960.32 "
18,12,"  231,960.32 ","  1,208.13 ","  1,074.95 ","  2,283.08 ","  230,885.36 "
19,1,"  230,885.36 ","  1,202.53 ","  1,080.55 ","  2,283.08 ","  229,804.81 "
19,2,"  229,804.81 ","  1,196.90 ","  1,086.18 ","  2,283.08 ","  228,718.63 "
19,3,"  228,718.63 ","  1,191.24 ","  1,091.84 ","  2,283.08 ","  227,626.80 "
19,4,"  227,626.80 ","  1,185.56 ","  1,097.52 ","  2,283.08 ","  226,529.27 "
19,5,"  226,529.27 ","  1,179.84 ","  1,103.24 ","  2,283.08 ","  225,426.03 "
19,6,"  225,426.03 ","  1,174.09 ","  1,108.99 ","  2,283.08 ","  224,317.05 "
19,7,"  224,317.05 ","  1,168.32 ","  1,114.76 ","  2,283.08 ","  223,202.29 "
19,8,"  223,202.29 ","  1,162.51 ","  1,120.57 ","  2,283.08 ","  222,081.72 "
19,9,"  222,081.72 ","  1,156.68 ","  1,126.40 ","  2,283.08 ","  220,955.32 "
19,10,"  220,955.32 ","  1,150.81 ","  1,132.27 ","  2,283.08 ","  219,823.05 "
19,11,"  219,823.05 ","  1,144.91 ","  1,138.17 ","  2,283.08 ","  218,684.88 "
19,12,"  218,684.88 ","  1,138.98 ","  1,144.10 ","  2,283.08 ","  217,540.78 "
20,1,"  217,540.78 ","  1,133.02 ","  1,150.05 ","  2,283.08 ","  216,390.73 "
20,2,"  216,390.73 ","  1,127.04 ","  1,156.04 ","  2,283.08 ","  215,234.68 "
20,3,"  215,234.68 ","  1,121.01 ","  1,162.07 ","  2,283.08 ","  214,072.62 "
20,4,"  214,072.62 ","  1,114.96 ","  1,168.12 ","  2,283.08 ","  212,904.50 "
20,5,"  212,904.50 ","  1,108.88 ","  1,174.20 ","  2,283.08 ","  211,730.30 "
20,6,"  211,730.30 ","  1,102.76 ","  1,180.32 ","  2,283.08 ","  210,549.98 "
20,7,"  210,549.98 ","  1,096.61 ","  1,186.46 ","  2,283.08 ","  209,363.52 "
20,8,"  209,363.52 ","  1,090.43 ","  1,192.64 ","  2,283.08 ","  208,170.87 "
20,9,"  208,170.87 ","  1,084.22 ","  1,198.86 ","  2,283.08 ","  206,972.02 "
20,10,"  206,972.02 ","  1,077.98 ","  1,205.10 ","  2,283.08 ","  205,766.92 "
20,11,"  205,766.92 ","  1,071.70 ","  1,211.38 ","  2,283.08 ","  204,555.54 "
20,12,"  204,555.54 ","  1,065.39 ","  1,217.69 ","  2,283.08 ","  203,337.85 "
21,1,"  203,337.85 ","  1,059.05 ","  1,224.03 ","  2,283.08 ","  202,113.82 "
21,2,"  202,113.82 ","  1,052.68 ","  1,230.40 ","  2,283.08 ","  200,883.42 "
21,3,"  200,883.42 ","  1,046.27 ","  1,236.81 ","  2,283.08 ","  199,646.61 "
21,4,"  199,646.61 ","  1,039.83 ","  1,243.25 ","  2,283.08 ","  198,403.36 "
21,5,"  198,403.36 ","  1,033.35 ","  1,249.73 ","  2,283.08 ","  197,153.63 "
21,6,"  197,153.63 ","  1,026.84 ","  1,256.24 ","  2,283.08 ","  195,897.39 "
21,7,"  195,897.39 ","  1,020.30 ","  1,262.78 ","  2,283.08 ","  194,634.61 "
21,8,"  194,634.61 ","  1,013.72 ","  1,269.36 ","  2,283.08 ","  193,365.25 "
21,9,"  193,365.25 ","  1,007.11 ","  1,275.97 ","  2,283.08 ","  192,089.28 "
21,10,"  192,089.28 ","  1,000.47 ","  1,282.61 ","  2,283.08 ","  190,806.67 "
21,11,"  190,806.67 ",  993.78 ,"  1,289.29 ","  2,283.08 ","  189,517.37 "
21,12,"  189,517.37 ",  987.07 ,"  1,296.01 ","  2,283.08 ","  188,221.37 "
22,1,"  188,221.37 ",  980.32 ,"  1,302.76 ","  2,283.08 ","  186,918.61 "
22,2,"  186,918.61 ",  973.53 ,"  1,309.54 ","  2,283.08 ","  185,609.06 "
22,3,"  185,609.06 ",  966.71 ,"  1,316.37 ","  2,283.08 ","  184,292.69 "
22,4,"  184,292.69 ",  959.86 ,"  1,323.22 ","  2,283.08 ","  182,969.47 "
22,5,"  182,969.47 ",  952.97 ,"  1,330.11 ","  2,283.08 ","  181,639.36 "
22,6,"  181,639.36 ",  946.04 ,"  1,337.04 ","  2,283.08 ","  180,302.32 "
22,7,"  180,302.32 ",  939.07 ,"  1,344.00 ","  2,283.08 ","  178,958.31 "
22,8,"  178,958.31 ",  932.07 ,"  1,351.00 ","  2,283.08 ","  177,607.31 "
22,9,"  177,607.31 ",  925.04 ,"  1,358.04 ","  2,283.08 ","  176,249.27 "
22,10,"  176,249.27 ",  917.96 ,"  1,365.11 ","  2,283.08 ","  174,884.15 "
22,11,"  174,884.15 ",  910.85 ,"  1,372.22 ","  2,283.08 ","  173,511.93 "
22,12,"  173,511.93 ",  903.71 ,"  1,379.37 ","  2,283.08 ","  172,132.56 "
23,1,"  172,132.56 ",  896.52 ,"  1,386.56 ","  2,283.08 ","  170,746.00 "
23,2,"  170,746.00 ",  889.30 ,"  1,393.78 ","  2,283.08 ","  169,352.22 "
23,3,"  169,352.22 ",  882.04 ,"  1,401.04 ","  2,283.08 ","  167,951.19 "
23,4,"  167,951.19 ",  874.75 ,"  1,408.33 ","  2,283.08 ","  166,542.85 "
23,5,"  166,542.85 ",  867.41 ,"  1,415.67 ","  2,283.08 ","  165,127.19 "
23,6,"  165,127.19 ",  860.04 ,"  1,423.04 ","  2,283.08 ","  163,704.14 "
23,7,"  163,704.14 ",  852.63 ,"  1,430.45 ","  2,283.08 ","  162,273.69 "
23,8,"  162,273.69 ",  845.18 ,"  1,437.90 ","  2,283.08 ","  160,835.79 "
23,9,"  160,835.79 ",  837.69 ,"  1,445.39 ","  2,283.08 ","  159,390.39 "
23,10,"  159,390.39 ",  830.16 ,"  1,452.92 ","  2,283.08 ","  157,937.47 "
23,11,"  157,937.47 ",  822.59 ,"  1,460.49 ","  2,283.08 ","  156,476.98 "
23,12,"  156,476.98 ",  814.98 ,"  1,468.10 ","  2,283.08 ","  155,008.89 "
24,1,"  155,008.89 ",  807.34 ,"  1,475.74 ","  2,283.08 ","  153,533.15 "
24,2,"  153,533.15 ",  799.65 ,"  1,483.43 ","  2,283.08 ","  152,049.72 "
24,3,"  152,049.72 ",  791.93 ,"  1,491.15 ","  2,283.08 ","  150,558.57 "
24,4,"  150,558.57 ",  784.16 ,"  1,498.92 ","  2,283.08 ","  149,059.65 "
24,5,"  149,059.65 ",  776.35 ,"  1,506.73 ","  2,283.08 ","  147,552.92 "
24,6,"  147,552.92 ",  768.50 ,"  1,514.57 ","  2,283.08 ","  146,038.34 "
