,,Net Commission,,"$1,150",,Time study indicates 33 hours spent per listing. Average hourly rate of $35 sourced from BLS for real estate sales agents.
,,Excess Interest,,$0,,
,,,,,,
Seller Agent,,,,,,
,Centralized,,,,,
,,Data,,"$2,500",,Lead platforms like Zillow Premier Agent
,,Tech,,"$1,250",,"MLS access $720 per year; $200 NAR fee per year, $150 licensing fee, $200 Continuing Education"
,,Net Commission,,"$7,539",,
,,Excess Interest,,$0,,
,Decentralized,,,,,
,,Data,,$650,,"Data costs associated with onchain updates for showings, offers, counteroffers, and disclosures."
,,,Oracles,$280,,"One oracle per 5,000 properties. Oracle works 1,000 hours per year. Each house transacts every 7 years. Oracle hourly market compensation $200. "
,,,AI Agent,$50,,"Estimated LLM token cost to process data, docs, and photos."
,,,L2,$100,,"Estimated gas cost of Polygon, IPFS, and The Graph.com."
,,,DUNA,$220,,
,,Tech,,$100,,This is the application-level fee charged by the seller-side dApp to conduct a transaction.
,,Net Commission,,"$1,150",,Time study indicates 33 hours spent per listing. Average hourly rate of $35 sourced from BLS for real estate sales agents.
,,Excess Interest,,$0,,
,,,,,,
Mortgage Broker,,,,,,
,Centralized,,,,,
,,Data,,"$2,500",,Lead platforms
,,Tech,,$500,,"LOS, CRM, pricing tools"
,,Net Commission,,$708,,
,,Excess Interest,,"$9,421",,
,,Total Interest Delta,,"$13,129",,Includes both cost of sales commissions and excess interest.
$0,,,,,,
,,30-Year Excess Interest,,"$41,993",,
,,30-Year Total Interest Delta,,"$45,701",,Includes both cost of sales commissions and excess interest.
,Decentralized,,,,,
,,Data,,$250,,"Data costs associated with borrower intake, document parsing, validation."
,,,Oracles,$0,,The broker is the source of the data (ie the oracle) in this step.
,,,AI Agent,$150,,"Estimated LLM token cost to process data, docs, and photos."
,,,L2,$50,,"Estimated gas cost of Polygon, IPFS, and The Graph.com."
,,,DUNA,$50,,
,,Tech,,$100,,This is the application-level fee charged by the mortgage broker dApp to conduct a transaction.
,,Net Commission,,$270,,Time study indicates 6.5 hours spent per loan file. Average hourly rate of $41 sourced from BLS for mortgage brokers/loan officers.
,,Excess Interest,,$0,,
,,,,,,
Lender,,,,,,
,Centralized,,,,,
,,Data,,$400,,"Credit report, verification of employment, fraud check."
,,Tech,,$300,,Core origination + doc systems.
,,Net Commission,,"$6,716",,
,,Excess Interest,,"$18,708",,
,,7-Year Total Interest Delta,,"$26,124",,Includes both cost of sales commissions and excess interest.
$0,,,,,,
,,30-Year Excess Interest,,"$81,299",,
,,30-Year Total Interest Delta,,"$88,715",,Includes both cost of sales commissions and excess interest.
,,,,,,
,Decentralized,,,,,
,,Data,,$300,,"Data costs associated with borrower intake, document parsing, validation."
,,,Oracles,$0,,The lender is the source of the data (ie the oracle) in this step.
,,,AI Agent,$200,,"Estimated LLM token cost to process data, docs, and photos."
,,,L2,$50,,"Estimated gas cost of Polygon, IPFS, and The Graph.com."
,,,DUNA,$50,,
,,Tech,,$200,,This is the application-level fee charged by the lender dApp to conduct a transaction. More complicated than other dApp flows.
,,Net Commission,,$525,,"Time study indicates 16.5 hours spent per loan file. Average hourly rate of $41 and $25 sourced from BLS for underwriters and processors, respectively."
,,Excess Interest,,$0,,
,,,,,,
Appraiser,,,,,,
,Centralized,,,,,
,,Data,,$0,,
,,Tech,,$100,,Reflects per-loan cost of tools like Alamode or ACI and lender review systems for managing appraisal submissions and compliance.
,,Net Commission,,$500,,"Represents typical compensation to the licensed appraiser in a traditional setting after AMC processing fees. Appraiser performs onsite or desktop inspection, valuation, and USPAP-compliant report."
,,Excess Interest,,$0,,
,Decentralized,,,,,
,,Data,,$50,,"Data cost for appraisal upload, structuring, and validation."
,,,Oracles,$0,,The appraiser is the source of the data (ie the oracle) in this step.
,,,AI Agent,$30,,"Estimated LLM token cost to process data, docs, and photos."
,,,L2,$10,,"Estimated gas cost of Polygon, IPFS, and The Graph.com."
,,,DUNA,$10,,
,,Tech,,$50,,This is the application-level fee charged by the appraiser dApp to conduct a transaction.
,,Net Commission,,$150,,Time study indicates 4.5 hours spent per transaction. Average hourly rate of $33 sourced from BLS for property appraisers.
,,Excess Interest,,$0,,
,,,,,,
Inspector,,,,,,
,Centralized,,,,,
,,Data,,0,,
,,Tech,,$100,,Reflects amortized tech costs including digital inspection software and reporting portals used in traditional home inspection.
,,Net Commission,,$400,,Standard home inspection fee paid to licensed inspector; includes visual check and formal PDF report for lender and buyer
,,Excess Interest,,0,,
,Decentralized,,,,,
,,Data,,$50,,"Data cost for inspection upload, structuring, and validation."
,,,Oracles,$0,,The inspector is the source of the data (ie the oracle) in this step.
,,,AI Agent,$30,,"Estimated LLM token cost to process data, docs, and photos."
,,,L2,$10,,"Estimated gas cost of Polygon, IPFS, and The Graph.com."
,,,DUNA,$10,,
,,Tech,,50,,This is the application-level fee charged by the inspector dApp to conduct a transaction.
,,Net Commission,,150,,Time study indicates 4.5 hours spent per transaction. Average hourly rate of $34 sourced from BLS for property inspectors.
,,Excess Interest,,0,,
,,,,,,
Title Agent,,,,,,
,Centralized,,,,,
,,Data,,200,,"Record searches, title exams."
,,Tech,,150,,"Software, e-closing."
,,Net Commission,,650,,
,,Excess Interest,,0,,
,Decentralized,,,,,
,,Data,,$50,,"Data cost for title report upload, chain of ownership, lien disclosure."
,,,Oracles,$0,,The title agent is the source of the data (ie the oracle) in this step.
,,,AI Agent,$30,,"Estimated LLM token cost to process data, docs, and photos."
,,,L2,$10,,"Estimated gas cost of Polygon, IPFS, and The Graph.com."
,,,DUNA,$10,,
,,Tech,,50,,This is the application-level fee charged by the title agent dApp to conduct a transaction.
,,Net Commission,,150,,Time study indicates 5.0 hours spent per transaction. Average hourly rate of $29 sourced from BLS for title agents.
,,Excess Interest,,0,,
,,,,,,
Escrow,,,,,,
,Centralized,,,,,
,,Data,,100,,"Transaction records, compliance checks."
,,Tech,,150,,Escrow management platforms.
,,Net Commission,,750,,
,,Excess Interest,,0,,
,Decentralized,,,,,
,,Data,,0,,
,,Tech,,50,,This is the application-level fee charged by the escrow dApp to conduct a transaction.
,,Net Commission,,150,,Time study indicates 6.0 hours spent per transaction. Average hourly rate of $26 sourced from salary.com for escrow agents.
,,Excess Interest,,0,,
,,,,,,
Title Insurance,,,,,,
,Centralized,,,,,
,,Data,,400,,"Record pull, search fees."
,,Tech,,0,,
,,Net Commission,,"$2,484",,
,,Excess Interest,,0,,
,Decentralized,,,,,
,,Data,,50,,"Data cost for policy hashing, claim history, validation."
,,,Oracles,$0,,The title insurance agent is the source of the data (ie the oracle) in this step.
,,,AI Agent,$30,,"Estimated LLM token cost to process data, docs, and photos."
,,,L2,$10,,"Estimated gas cost of Polygon, IPFS, and The Graph.com."
,,,DUNA,$10,,
,,Tech,,0,,Not required since there is a separate offchain policy system.
,,Net Commission,,0,,
,,Excess Interest,,0,,
,,,,,,
App System,,,,,,
,Centralized,,,,,
,,Data,,0,,
,,Tech,,0,,
,,Net Commission,,0,,
,,Excess Interest,,0,,
,Decentralized,,,,,
,,Data,,$350,,Underlying costs for a self-serve consumer-facing app where the consumer adds data and manages listings.
,,,Oracles,$0,,
,,,AI Agent,$200,,"Estimated LLM token cost to process data, docs, and photos."
,,,L2,$75,,"Estimated gas cost of Polygon, IPFS, and The Graph.com."
,,,DUNA,$75,,
,,Tech,,150,,"Covers the operational cost of consumer apps used to manage decentralized listings, schedule showings, trigger agent workflows, and route event updates to oracles. This includes frontend logic, permissionless login, mobile capture interfaces, and wallet-enabled submission layers."
,,Net Commission,,200,,Licensed real estate agent acting as transactional representative within the dApp but not as full end-to-end buyer or seller agent. Time study indicates 6.0 hours per transaction. Average hourly rate of $35 sourced from BLS for real estate sales agents.
,,Excess Interest,,0,,
,,,,,,
,,,,,,
"Note: All aggregate numbers tie to Federal Reserve (2025, “Commissions and Omissions”). Fed includes taxes which are excluded in Elephant analyses as not addressable.",,,,,,
